Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_STATE,Geo_COUNTY,Geo_TRACT,SE_A01001A_001,SE_A01001A_002,SE_A01001A_003,SE_A01001A_004,SE_A01001A_005,SE_A01001A_006,SE_A01001A_007,SE_A01001A_008,SE_A01001A_009,SE_A01001A_010,SE_A01001A_011,SE_A01001A_012,SE_A10003_001,SE_A14010_001,SE_A13003A_001,SE_A13003A_002,SE_A13003A_003
17031062800,14000US17031062800,"Census Tract 628, Cook County, Illinois","Census Tract 628, Cook County, Illinois",il,140,0,ACSSF,5964,17,31,62800,3651,320,450,554,583,919,2511,3047,3391,3543,3630,3651,2.4,211555,583,0,583
17031062900,14000US17031062900,"Census Tract 629, Cook County, Illinois","Census Tract 629, Cook County, Illinois",il,140,0,ACSSF,5965,17,31,62900,3959,175,244,436,436,1071,2857,3222,3589,3822,3891,3920,2.13,159097,436,24,412
17031063000,14000US17031063000,"Census Tract 630, Cook County, Illinois","Census Tract 630, Cook County, Illinois",il,140,0,ACSSF,5966,17,31,63000,3249,264,313,387,409,732,2193,2676,3068,3220,3249,3249,1.87,180000,409,0,409
17031063100,14000US17031063100,"Census Tract 631, Cook County, Illinois","Census Tract 631, Cook County, Illinois",il,140,0,ACSSF,5967,17,31,63100,2326,138,150,253,253,608,1484,1982,2163,2261,2314,2326,1.75,141944,253,5,248
17031063200,14000US17031063200,"Census Tract 632, Cook County, Illinois","Census Tract 632, Cook County, Illinois",il,140,0,ACSSF,5968,17,31,63200,7045,128,320,511,551,1288,3696,4479,5164,6002,6479,6939,1.65,124127,528,41,487
17031063301,14000US17031063301,"Census Tract 633.01, Cook County, Illinois","Census Tract 633.01, Cook County, Illinois",il,140,0,ACSSF,5969,17,31,63301,2588,79,102,102,102,539,1568,1747,1868,2083,2411,2588,1.46,109063,102,0,102
17031063302,14000US17031063302,"Census Tract 633.02, Cook County, Illinois","Census Tract 633.02, Cook County, Illinois",il,140,0,ACSSF,5970,17,31,63302,4140,127,172,196,196,935,2629,3131,3412,3658,3887,4100,1.47,124091,196,0,196
17031063303,14000US17031063303,"Census Tract 633.03, Cook County, Illinois","Census Tract 633.03, Cook County, Illinois",il,140,0,ACSSF,5971,17,31,63303,1295,12,20,26,26,69,310,405,480,634,831,965,1.36,135313,26,0,26
17031063400,14000US17031063400,"Census Tract 634, Cook County, Illinois","Census Tract 634, Cook County, Illinois",il,140,0,ACSSF,5972,17,31,63400,2274,124,194,240,240,460,1592,1887,2078,2157,2264,2274,1.93,181705,240,0,240
17031070101,14000US17031070101,"Census Tract 701.01, Cook County, Illinois","Census Tract 701.01, Cook County, Illinois",il,140,0,ACSSF,5973,17,31,70101,3618,21,126,266,282,738,1777,2152,2509,2895,3327,3559,1.43,120806,282,52,230
17031070102,14000US17031070102,"Census Tract 701.02, Cook County, Illinois","Census Tract 701.02, Cook County, Illinois",il,140,0,ACSSF,5974,17,31,70102,2879,42,88,130,160,512,1816,2156,2371,2640,2797,2818,1.47,217875,160,0,160
17031070103,14000US17031070103,"Census Tract 701.03, Cook County, Illinois","Census Tract 701.03, Cook County, Illinois",il,140,0,ACSSF,5975,17,31,70103,1587,70,84,84,84,542,1219,1372,1393,1464,1587,1587,1.34,67202,84,0,84
