:@computed_region_43wa_7qmu,:@computed_region_6mkv_f3dw,:@computed_region_awaf_s7ux,:@computed_region_bdys_3d7i,:@computed_region_d3ds_rm58,:@computed_region_d9mm_jgwp,:@computed_region_rpca_8um6,:@computed_region_vrxf_vc4k,arrest,beat,block,case_number,community_area,date,description,district,domestic,fbi_code,id,iucr,latitude,location,location_description,longitude,primary_type,updated_on,ward,x_coordinate,y_coordinate,year
46,14917,41,63,92,15,44,29,False,1224,013XX W RANDOLPH ST,JC200967,28,2019-03-26T22:00:00.000,OVER $500,012,False,06,11635660,0810,41.884065948,"{'type': 'Point', 'coordinates': [-87.661354648, 41.884065948]}",STREET,-87.661354648,THEFT,2019-04-02T16:10:50.000,27,1167234,1901060,2019
23,22216,11,696,90,16,32,26,False,1113,047XX W WEST END AVE,JC201073,25,2019-03-26T22:00:00.000,UNLAWFUL ENTRY,011,False,05,11635775,0620,41.883148814,"{'type': 'Point', 'coordinates': [-87.743685488, 41.883148814]}",RESIDENCE-GARAGE,-87.743685488,BURGLARY,2019-04-02T16:10:50.000,28,1144817,1900561,2019
17,22615,7,355,176,6,2,19,False,2521,051XX W DIVERSEY AVE,JC201173,19,2019-03-26T22:00:00.000,OVER $500,025,False,06,11635968,0810,41.931415653,"{'type': 'Point', 'coordinates': [-87.755254862, 41.931415653]}",STREET,-87.755254862,THEFT,2019-04-02T16:10:50.000,31,1141548,1918128,2019
8,22248,35,173,105,13,56,53,False,0815,051XX S KEATING AVE,JC201987,56,2019-03-26T22:00:00.000,$500 AND UNDER,008,False,06,11636565,0820,41.799844709,"{'type': 'Point', 'coordinates': [-87.741724838, 41.799844709]}",STREET,-87.741724838,THEFT,2019-04-02T16:10:50.000,14,1145560,1870209,2019
3,22257,44,345,270,17,23,65,False,0715,055XX S DAMEN AVE,JC201136,67,2019-03-26T22:00:00.000,DOMESTIC BATTERY SIMPLE,007,True,08B,11636067,0486,41.793190357,"{'type': 'Point', 'coordinates': [-87.674270532, 41.793190357]}",SIDEWALK,-87.674270532,BATTERY,2019-04-02T16:10:50.000,15,1163971,1867918,2019
43,21861,30,254,260,10,19,47,False,0513,007XX E 107TH ST,JC200970,50,2019-03-26T21:56:00.000,OTHER CRIME AGAINST PERSON,005,False,26,11635750,5000,41.699403785,"{'type': 'Point', 'coordinates': [-87.605622083, 41.699403785]}",COMMERCIAL / BUSINESS OFFICE,-87.605622083,OTHER OFFENSE,2019-04-02T16:10:50.000,9,1182980,1833894,2019
35,22538,9,188,224,19,24,39,False,0411,078XX S CORNELL AVE,JC200927,43,2019-03-26T21:53:00.000,SIMPLE,004,False,08A,11635651,0580,41.752715896,"{'type': 'Point', 'coordinates': [-87.584434962, 41.752715896]}",RESIDENTIAL YARD (FRONT/BACK),-87.584434962,STALKING,2019-04-02T16:10:50.000,8,1188597,1853370,2019
5,21853,46,48,41,11,9,10,True,2432,012XX W ARTHUR AVE,JC200964,1,2019-03-26T21:48:00.000,RECKLESS CONDUCT,024,False,24,11635744,0470,42.000433796,"{'type': 'Point', 'coordinates': [-87.661250078, 42.000433796]}",PARKING LOT/GARAGE(NON.RESID.),-87.661250078,PUBLIC PEACE VIOLATION,2019-04-02T16:10:50.000,49,1166930,1943465,2019
16,4451,40,536,50,11,14,76,False,2433,061XX N CLARK ST,JC201539,77,2019-03-26T21:45:00.000,FROM BUILDING,024,False,06,11636176,0890,41.993276382,"{'type': 'Point', 'coordinates': [-87.670117213, 41.993276382]}",OTHER,-87.670117213,THEFT,2019-04-02T16:10:50.000,40,1164540,1940838,2019
23,21572,11,736,82,16,30,27,True,1122,039XX W WILCOX ST,JC200922,26,2019-03-26T21:45:00.000,POSS: HEROIN(WHITE),011,False,18,11635621,2024,41.878891134,"{'type': 'Point', 'coordinates': [-87.723976472, 41.878891134]}",SIDEWALK,-87.723976472,NARCOTICS,2019-04-02T16:10:50.000,28,1150195,1899047,2019
7,4454,39,136,183,6,3,18,True,2512,026XX N NEVA AVE,JC200956,18,2019-03-26T21:41:00.000,POSS: CRACK,025,False,18,11635682,2027,41.928113346,"{'type': 'Point', 'coordinates': [-87.805178135, 41.928113346]}",STREET,-87.805178135,NARCOTICS,2019-04-02T16:10:50.000,29,1127971,1916837,2019
27,4450,42,53,52,11,50,20,True,2413,062XX N CLAREMONT AVE,JC200960,2,2019-03-26T21:37:00.000,THEFT OF LOST/MISLAID PROP,024,False,11,11635699,1220,41.99488261,"{'type': 'Point', 'coordinates': [-87.688574883, 41.99488261]}",ALLEY,-87.688574883,DECEPTIVE PRACTICE,2019-04-02T16:10:50.000,50,1159518,1941385,2019
47,21202,47,175,238,19,25,42,True,0423,089XX S ESCANABA AVE,JC200944,46,2019-03-26T21:35:00.000,OTHER VIOLATION,004,False,24,11635642,2890,41.733128386,"{'type': 'Point', 'coordinates': [-87.554096313, 41.733128386]}",SIDEWALK,-87.554096313,PUBLIC PEACE VIOLATION,2019-04-02T16:10:50.000,10,1196940,1846306,2019
2,22257,19,278,266,17,23,65,False,0713,059XX S THROOP ST,JC201006,67,2019-03-26T21:30:00.000,AGGRAVATED: HANDGUN,007,False,04A,11635722,051A,41.786023978,"{'type': 'Point', 'coordinates': [-87.657092032, 41.786023978]}",RESIDENCE,-87.657092032,ASSAULT,2019-04-02T16:10:50.000,16,1168676,1865343,2019
35,21546,9,133,240,19,61,41,False,0412,013XX E 87TH ST,JC201440,48,2019-03-26T21:30:00.000,TO PROPERTY,004,False,14,11636247,1310,41.736821484,"{'type': 'Point', 'coordinates': [-87.592570331, 41.736821484]}",GROCERY FOOD STORE,-87.592570331,CRIMINAL DAMAGE,2019-04-02T16:10:50.000,8,1186427,1847559,2019
15,21867,23,318,209,13,58,63,False,0833,067XX S KILDARE AVE,JC200990,65,2019-03-26T21:30:00.000,ARMED: OTHER DANGEROUS WEAPON,008,False,03,11635747,0313,41.770830775,"{'type': 'Point', 'coordinates': [-87.729875852, 41.770830775]}",STREET,-87.729875852,ROBBERY,2019-04-02T16:10:50.000,13,1148865,1859659,2019
23,22216,11,695,68,16,32,26,True,1531,007XX N CICERO AVE,JC200914,25,2019-03-26T21:29:00.000,POSS: SYNTHETIC DRUGS,015,False,18,11635639,2028,41.894317667,"{'type': 'Point', 'coordinates': [-87.745782842, 41.894317667]}",STREET,-87.745782842,NARCOTICS,2019-04-02T16:10:50.000,37,1144218,1904627,2019
48,14920,26,59,162,23,43,58,False,0913,028XX S QUINN ST,JC200930,60,2019-03-26T21:27:00.000,DOMESTIC BATTERY SIMPLE,009,True,08B,11635655,0486,41.841852738,"{'type': 'Point', 'coordinates': [-87.651388669, 41.841852738]}",RESIDENCE,-87.651388669,BATTERY,2019-04-02T16:10:50.000,11,1170070,1885699,2019
18,21186,13,651,8,5,53,57,False,1912,043XX N ASHLAND AVE,JC200902,6,2019-03-26T21:27:00.000,TO PROPERTY,019,False,14,11635647,1310,41.960373747,"{'type': 'Point', 'coordinates': [-87.669223146, 41.960373747]}",ALLEY,-87.669223146,CRIMINAL DAMAGE,2019-04-02T16:10:50.000,47,1164876,1928850,2019
,,,,,,,,False,1424,020XX W NORTH AVE,JC205762,24,2019-03-26T21:26:00.000,AUTOMOBILE,014,False,07,11639640,0910,,,STREET,,MOTOR VEHICLE THEFT,2019-04-02T16:10:50.000,1,,,2019
9,21192,12,218,125,24,10,7,True,0231,051XX S PRAIRIE AVE,JC200924,40,2019-03-26T21:23:00.000,SOLICIT ON PUBLIC WAY,002,False,16,11635624,1506,41.80158649,"{'type': 'Point', 'coordinates': [-87.619394194, 41.80158649]}",STREET,-87.619394194,PROSTITUTION,2019-04-02T16:10:50.000,3,1178910,1871097,2019
43,4460,30,10,221,10,47,51,False,0533,133XX S CORLISS AVE,JC200937,54,2019-03-26T21:17:00.000,ARMED: HANDGUN,005,False,03,11635693,031A,41.65369915,"{'type': 'Point', 'coordinates': [-87.602093356, 41.65369915]}",RESIDENCE,-87.602093356,ROBBERY,2019-04-02T16:10:50.000,9,1184085,1817248,2019
33,22538,32,418,89,18,24,39,True,0333,073XX S PAXTON AVE,JC200951,43,2019-03-26T21:15:00.000,THEFT/RECOVERY: AUTOMOBILE,003,False,07,11635681,0930,41.761984768,"{'type': 'Point', 'coordinates': [-87.571289581, 41.761984768]}",STREET,-87.571289581,MOTOR VEHICLE THEFT,2019-04-02T16:10:50.000,7,1192154,1856779,2019
14,21569,36,772,153,21,57,30,False,1021,015XX S DRAKE AVE,JC200897,29,2019-03-26T21:08:00.000,RECKLESS FIREARM DISCHARGE,010,False,15,11635579,1477,41.860358116,"{'type': 'Point', 'coordinates': [-87.714027937, 41.860358116]}",STREET,-87.714027937,WEAPONS VIOLATION,2019-04-02T16:10:50.000,24,1152953,1892313,2019
50,21869,20,693,43,12,48,11,False,1622,055XX N MANGO AVE,JC201347,11,2019-03-26T21:05:00.000,TO VEHICLE,016,True,14,11636022,1320,41.981745321,"{'type': 'Point', 'coordinates': [-87.77200153, 41.981745321]}",STREET,-87.77200153,CRIMINAL DAMAGE,2019-04-02T16:10:50.000,45,1136871,1936438,2019
36,4446,22,670,72,14,55,37,False,1832,006XX N CLARK ST,JC200891,8,2019-03-26T21:03:00.000,TO LAND,018,False,26,11636309,1330,41.893646656,"{'type': 'Point', 'coordinates': [-87.631177143, 41.893646656]}",DEPARTMENT STORE,-87.631177143,CRIMINAL TRESPASS,2019-04-02T16:10:50.000,42,1175423,1904617,2019
31,21554,17,529,229,20,59,70,True,0621,079XX S HALSTED ST,JC200900,71,2019-03-26T21:02:00.000,MANU/DEL:CANNABIS OVER 10 GMS,006,False,18,11635676,1822,41.750001514,"{'type': 'Point', 'coordinates': [-87.644024583, 41.750001514]}",STREET,-87.644024583,NARCOTICS,2019-04-02T16:10:50.000,17,1172345,1852245,2019
31,21867,44,383,207,13,58,64,False,0832,068XX S CAMPBELL AVE,JC200898,66,2019-03-26T21:01:00.000,TO VEHICLE,008,False,14,11635623,1320,41.769663372,"{'type': 'Point', 'coordinates': [-87.685824021, 41.769663372]}",RESIDENCE,-87.685824021,CRIMINAL DAMAGE,2019-04-02T16:10:50.000,17,1160885,1859321,2019
40,21190,16,743,172,5,16,68,False,1931,017XX W ALTGELD ST,JC201232,7,2019-03-26T21:00:00.000,AUTOMOBILE,019,False,07,11636055,0910,41.927628442,"{'type': 'Point', 'coordinates': [-87.670893166, 41.927628442]}",STREET,-87.670893166,MOTOR VEHICLE THEFT,2019-04-02T16:10:50.000,32,1164514,1916914,2019
49,21560,10,150,64,15,4,24,False,1211,009XX N SACRAMENTO BLVD,JC201493,23,2019-03-26T21:00:00.000,FINANCIAL IDENTITY THEFT $300 AND UNDER,012,False,11,11636388,1154,41.898615764,"{'type': 'Point', 'coordinates': [-87.702447958, 41.898615764]}",APARTMENT,-87.702447958,DECEPTIVE PRACTICE,2019-04-02T16:10:50.000,26,1156005,1906277,2019
